,,,,
Date,Shop Name,Amount,Bought By,Item
26/12,ss,22,R,"potato,onion,carrot,milk"
24/12,goh,6.7,R,milk
28/12,siva durga,4.1,Shar,"archanai,lamp"
30/12,thenga shop,1.6,R,coconut
31/12,Chan,2,Chan,tips for delivery
30/12,ss,6.45,R,milk
4/1,siva durga,4.19,Shar,"archanai,lamp"
3/1,siva durga,11,Shar,appa monthly sratham
1/1,ss,9.3,R,"oranges,etc"
,,2,Shar,danam in front of siva durga on sat
9/1,ss,7.77,Shar,"capsicum,yogurt,milkmaid"
10/1,vadabathra kali,3,Shar,"archanai,milk"
10/1,flower shop,6,Shar,flowers
,ang mo,1,Shar,potato
,thenga shop,1.6,Shar,coconut
,thenga shop,12,Shar,puzhangal rice
,siva durga,4.1,Shar,"archanai,lamp"
,little india,7,Shar,"tomato,white pumpkin"
15/1,potong pasir,10,Shar,someone on road asked for pichai
13/1,flower shop,12.5,Shar,"flowers ,pongal stuff"
16/1,ss,7.1,R,"potato,capsicum,carrot"
15/1,thenga shop,1.2,Shar,curd
18/1,abc,1.05,Shar,aluminium foil
18/1,good price,2.8,Shar,"scrubber,wet wipes"
17/1,vadabathra kali,3,Shar,"archanai,milk"
17/1,flower shop,7,Shar,flowers
,siva durga,4.1,Shar,"archanai,lamp"
,little india,2.2,Shar,amul taaza
25/1,Goh,5,R,Rajathi toiletries
25/1,Kodachadri,2.4,Shar,kothavarangai
27/1,Swami ku keep,10,Shar,swami ku keep
27/1,curd,1.3,R,ss
28/1,little india,5,Shar,"vendakai,tomato"
28/1,siva durga,1.2,Shar,rahu kala pooja lamp
30/1,goh,9.2,R,"milk,soap powder"
31/1,thenga shop,1.6,Shar,coconut
1/2,flower shop,0.6,Shar,vethala paaku
1/2,siva durga,11,Shar,vadhyar dakshinai for appa masiyam
1/2,siva durga,6.1,Shar,"archanai,elu lamps"
1/2,goh,6.7,R,milk
7/2,shop near vadabathra,11,Shar,"flowers,banana,small onion"
7/2,vadabathra kali,1,Shar,archanai
5/2,ss,14.7,Shar,"brocolli,tomato,milk,cauliflower,ginger"
10/2,goh,8,R,"milk,yogurt"
11/2,thenga shop,1.6,R,coconut
12/2,goh,6.7,R,milk
13/2,ss,16.5,R,"milk,sugar,bean,coriander,tomato"
13/2,thenga shop,2.3,R,amul taaza
14/2,flower shop,4.5,Shar,flower shop
14/2,vadabathra kali,3,Shar,"archanai,milk"
15/2,siva durga,4.1,Shar,"archanai,lamp"
15/2,donation,2,Shar,danam to random in front of temple
16/2,thenga shop,2,Shar,"arukampul,vethalai paaku"
17/2,thenga shop,1,Shar,match box
17/2,fruit shop,1,Shar,banana
19/2,ss,4.3,R,"onion,R soap"
17/2,siva durga,10,Shar,paal kodam on shivarathri
25/2,thenga shop,5.6,Shar,"coconut,ghee"
26/2,goh,13.1,R,"milk,coffee powder"
28/2,flower  shop,1,Shar,roses
28/2,vadabathra kali,3,Shar,"archanai,milk"
28/2,flower shop,4,Shar,flowers
28/2,siva durga,1,Shar,soolam 
28/2,ang mo,0.4,Shar,green chilly
1/3,siva durga,4.1,Shar,"archanai,ellu lamp"
3/3,ss,14,R,"milk,carrot,cabbage,brocolli"
4/3,thenga shop,30.1,R,"yogurt,amul milk,puzhangal rice,pacha rice"
28/2,R salary,3,Shar,Rajathi Salary
7/3,scientist,3.5,Shar,garbage bag
7/3,fruit shop,2,Shar,papaya
7/3,flower shop,3.5,Shar,flowers
8/3,siva durga,4.1,Shar,"archanai,lamp"
8/3,thenga shop,3.5,Shar,"amul taaza,curd"
6/3,swamis,4,Shar,kept to swamis inpooja room
11/3,thenga shop,2.8,Shar,"coconut,curd"
12/3,goh,6.7,Shar,milk
14/3,Thenga shop,6,R,Flowers
16/3,Goh,7.9,R,"Milk, toothpaste"
17/3,Siva durga,10,Shar,Hundial for new house key
20/3,goh,8,R,"milk,curd"
21/3,Thenga shop,1.6,R,coconut
24/3,Siva Durga,1.7,Shar,archanai
25/3,Goh,1.6,R,Mama Lemon
27/3,ss,3.9,R,butterscoth bread
26/3,ss,1.6,R,curd
30/3,ss,16.7,R,"carrot,milk,cauliflower,potato,ladies finger,tomato"
3/4,ss,13.35,R,"milk,yogurt,tomato,biscuit"
4/4,ss,1.55,R,onion
9/4,thenga shop,15.6,R,"ponni rice,yogurt,coconut,amul taaza"
9/4,ang mo,0.9,R,spring onion
4/4,thenga shop,1.6,R,coconut
4/4,ss,1.9,R,onion
11/4,goh,6.9,R,milk
13/4,thenga shop,2,R,cash to R for some grocery
13/4,flower shop -little india,7,Shar,
17/4,goh,9.4,R,"milk,shampoo,tooth paste"
15/4,goh,10.6,R,"milk,bread"
10/4,sasi,10,R,given by R to sasi
23/4,thenga shop,1.2,,yogurt
1/5,"ss-carrot,bean,capsicum",8.1,,
29/4,aBC-NESCAFE COFFEE,9.9,,
15/5,"ss-milk,tomato",7.6,,
27/4,"plastic shop -li(foil,cup,spoon)",5.3,Shar,
3/5,veera fresh-li,12.9,,
3/5,good luck,9.69,,
7/6,ss,R,4.13,"water,spinach,tomato"
7/6,thenga shop,R,1.6,coconut
6/6,flower shop,Shar,2.5,flowers
6/6,vadabathra kali,Shar,3,"milk,archanai"
7/6,vadabathra kali,Shar,5,"archanai,elu lamp"
24/5,ss,R,4.5,"yogurt,potato,spinach"
31/5,thenga shop,R,3.9,"coconut,open item"
24/5,thenga shop,R,1.6,coconut
22/5,home 360,Shar,8.5,"mug,toilet brush"
2/6,ss,R,1.67,"water,yogurt"
10/6,fp -poiz,R,19.69,"cabbage,potato,milk,spring onion,soap powder"
10/6,toa payoh markers,Shar,1.5,markers for aadhvik
10/6,prime,Shar,7.9,"toothpaste,butterscotch bread"
15/6,chennai trading,Shar,3.2,"vendakai,corn 2pcs"
17/6,thenga shop,R,1.6,coconut
17/6,ss,R,10.8,"chilly,milk,sugar,yogurt"
20/6,flower shop,Shar,8.6,"flowers,vellam"
20/6,vadabathra kali,Shar,3,"archanai,milk"
24/6,Scientist ,9,Shar,Pole
